event_id,event_date,tw_event_trade_date,decision_type,rate_change_bp,policy_tone,index_name,window,return_rate,benchmark_return,excess_return,event_source,price_source,benchmark_source
E20220126,2022-01-26,2022-02-07,hold,0,hold,Shipping,10,0.24446818930590797,0.03156825691395437,0.2128999323919536,https://www.federalreserve.gov/newsevents/pressreleases/monetary20220126a.htm,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20220207&type=IND,https://www.twse.com.tw/indicesReport/MI_5MINS_HIST?response=json&date=20220201
E20220126,2022-01-26,2022-02-07,hold,0,hold,TAIEX,1,0.012781197664418542,0.012781197664418542,0,https://www.federalreserve.gov/newsevents/pressreleases/monetary20220126a.htm,https://www.twse.com.tw/indicesReport/MI_5MINS_HIST?response=json&date=20220201,https://www.twse.com.tw/indicesReport/MI_5MINS_HIST?response=json&date=20220201
E20220126,2022-01-26,2022-02-07,hold,0,hold,TAIEX,3,0.027008554745846958,0.027008554745846958,0,https://www.federalreserve.gov/newsevents/pressreleases/monetary20220126a.htm,https://www.twse.com.tw/indicesReport/MI_5MINS_HIST?response=json&date=20220201,https://www.twse.com.tw/indicesReport/MI_5MINS_HIST?response=json&date=20220201
E20220126,2022-01-26,2022-02-07,hold,0,hold,TAIEX,5,0.03601480106821153,0.03601480106821153,0,https://www.federalreserve.gov/newsevents/pressreleases/monetary20220126a.htm,https://www.twse.com.tw/indicesReport/MI_5MINS_HIST?response=json&date=20220201,https://www.twse.com.tw/indicesReport/MI_5MINS_HIST?response=json&date=20220201
E20220126,2022-01-26,2022-02-07,hold,0,hold,TAIEX,10,0.03156825691395437,0.03156825691395437,0,https://www.federalreserve.gov/newsevents/pressreleases/monetary20220126a.htm,https://www.twse.com.tw/indicesReport/MI_5MINS_HIST?response=json&date=20220201,https://www.twse.com.tw/indicesReport/MI_5MINS_HIST?response=json&date=20220201
E20220316,2022-03-16,2022-03-17,hike,25,tightening,Construction,1,0.018736071752826877,0.029950716700421376,-0.011214644947594499,https://www.federalreserve.gov/newsevents/pressreleases/monetary20220316a.htm,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20220317&type=IND,https://www.twse.com.tw/indicesReport/MI_5MINS_HIST?response=json&date=20220301
E20220316,2022-03-16,2022-03-17,hike,25,tightening,Construction,3,0.02297301015214459,0.03657022707860236,-0.013597216926457767,https://www.federalreserve.gov/newsevents/pressreleases/monetary20220316a.htm,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20220317&type=IND,https://www.twse.com.tw/indicesReport/MI_5MINS_HIST?response=json&date=20220301
E20220316,2022-03-16,2022-03-17,hike,25,tightening,Construction,5,0.042864610559330885,0.04666477380388079,-0.0038001632445499034,https://www.federalreserve.gov/newsevents/pressreleases/monetary20220316a.htm,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20220317&type=IND,https://www.twse.com.tw/indicesReport/MI_5MINS_HIST?response=json&date=20220301
E20220316,2022-03-16,2022-03-17,hike,25,tightening,Construction,10,0.043414862299501866,0.04720725017605387,-0.003792387876552006,https://www.federalreserve.gov/newsevents/pressreleases/monetary20220316a.htm,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20220317&type=IND,https://www.twse.com.tw/indicesReport/MI_5MINS_HIST?response=json&date=20220301
E20220316,2022-03-16,2022-03-17,hike,25,tightening,Electronics,1,0.037173020974934134,0.029950716700421376,0.007222304274512759,https://www.federalreserve.gov/newsevents/pressreleases/monetary20220316a.htm,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20220317&type=IND,https://www.twse.com.tw/indicesReport/MI_5MINS_HIST?response=json&date=20220301
