date,index_name,close,source
2022-01-26,Construction,358.76,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20220126&type=IND
2022-01-26,Electronics,854.42,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20220126&type=IND
2022-01-26,Financials,1748.67,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20220126&type=IND
2022-01-26,Shipping,224.61,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20220126&type=IND
2022-01-26,TAIEX,17674.4,https://www.twse.com.tw/indicesReport/MI_5MINS_HIST?response=json&date=20220101
2022-02-07,Construction,364.43,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20220207&type=IND
2022-02-07,Electronics,858.53,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20220207&type=IND
2022-02-07,Financials,1796.57,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20220207&type=IND
2022-02-07,Shipping,243.84,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20220207&type=IND
2022-02-07,TAIEX,17900.3,https://www.twse.com.tw/indicesReport/MI_5MINS_HIST?response=json&date=20220201
2022-02-08,Construction,366.67,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20220208&type=IND
2022-02-08,Electronics,858.63,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20220208&type=IND
2022-02-08,Financials,1814.78,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20220208&type=IND
2022-02-08,Shipping,253.25,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20220208&type=IND
2022-02-08,TAIEX,17966.56,https://www.twse.com.tw/indicesReport/MI_5MINS_HIST?response=json&date=20220201
2022-02-09,Construction,368.75,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20220209&type=IND
2022-02-09,Electronics,869.25,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20220209&type=IND
2022-02-09,Financials,1821.1,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20220209&type=IND
2022-02-09,Shipping,255.15,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20220209&type=IND
2022-02-09,TAIEX,18151.76,https://www.twse.com.tw/indicesReport/MI_5MINS_HIST?response=json&date=20220201
2022-02-10,Construction,368.25,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20220210&type=IND
2022-02-10,Electronics,881.37,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20220210&type=IND
2022-02-10,Financials,1820.23,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20220210&type=IND
2022-02-10,Shipping,259.1,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20220210&type=IND
2022-02-10,TAIEX,18338.05,https://www.twse.com.tw/indicesReport/MI_5MINS_HIST?response=json&date=20220201
2022-02-11,Construction,366.56,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20220211&type=IND
2022-02-11,Electronics,880.24,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20220211&type=IND
2022-02-11,Financials,1820.98,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20220211&type=IND
2022-02-11,Shipping,258.13,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20220211&type=IND
2022-02-11,TAIEX,18310.94,https://www.twse.com.tw/indicesReport/MI_5MINS_HIST?response=json&date=20220201
2022-02-14,Construction,363.52,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20220214&type=IND
2022-02-14,Electronics,861,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20220214&type=IND
2022-02-14,Financials,1802.29,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20220214&type=IND
2022-02-14,Shipping,257.01,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20220214&type=IND
2022-02-14,TAIEX,17997.67,https://www.twse.com.tw/indicesReport/MI_5MINS_HIST?response=json&date=20220201
2022-02-15,Construction,363.53,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20220215&type=IND
2022-02-15,Electronics,858.42,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20220215&type=IND
2022-02-15,Financials,1794.22,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20220215&type=IND
2022-02-15,Shipping,259.85,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20220215&type=IND
2022-02-15,TAIEX,17951.81,https://www.twse.com.tw/indicesReport/MI_5MINS_HIST?response=json&date=20220201
2022-02-16,Construction,367.51,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20220216&type=IND
2022-02-16,Electronics,874.72,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20220216&type=IND
2022-02-16,Financials,1806.25,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20220216&type=IND
2022-02-16,Shipping,264.94,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20220216&type=IND
2022-02-16,TAIEX,18231.47,https://www.twse.com.tw/indicesReport/MI_5MINS_HIST?response=json&date=20220201
2022-02-17,Construction,367.87,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20220217&type=IND
2022-02-17,Electronics,875.02,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20220217&type=IND
2022-02-17,Financials,1813.25,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20220217&type=IND
2022-02-17,Shipping,267.79,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20220217&type=IND
2022-02-17,TAIEX,18268.57,https://www.twse.com.tw/indicesReport/MI_5MINS_HIST?response=json&date=20220201
2022-02-18,Construction,368.79,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20220218&type=IND
2022-02-18,Electronics,870.25,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20220218&type=IND
2022-02-18,Financials,1808.82,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20220218&type=IND
2022-02-18,Shipping,279.52,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20220218&type=IND
2022-02-18,TAIEX,18232.35,https://www.twse.com.tw/indicesReport/MI_5MINS_HIST?response=json&date=20220201
2022-03-16,Construction,363.47,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20220316&type=IND
2022-03-16,Electronics,787.13,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20220316&type=IND
2022-03-16,Financials,1760.22,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20220316&type=IND
2022-03-16,Shipping,269.65,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20220316&type=IND
2022-03-16,TAIEX,16940.83,https://www.twse.com.tw/indicesReport/MI_5MINS_HIST?response=json&date=20220301
2022-03-17,Construction,370.28,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20220317&type=IND
